Pitcher,PitcherTeam,PitcherThrows,TaggedPitchType,pitch_count,avg_xRV,xRV+,SwStr%
"Albanese, Tyler",COT_KET,Right,Curveball,5,-0.07758871811670011,109.38666374831544,0.0
"Albanese, Tyler",COT_KET,Right,Fastball,24,0.22486602617764193,98.44153194273385,8.33
"Albanese, Tyler",COT_KET,Right,FourSeamFastBall,12,-0.11799821745823923,110.8807786126689,8.33
"Albanese, Tyler",COT_KET,Right,Slider,8,0.35287467570131825,92.77203994048996,12.5
"Applebey, Kaleb",WAR_GAT,Right,Curveball,5,-0.022999747854830093,107.70482816252736,20.0
"Applebey, Kaleb",WAR_GAT,Right,Cutter,3,-0.028591211505818292,105.59748005298418,33.33
"Applebey, Kaleb",WAR_GAT,Right,Fastball,7,-0.03092279469476596,108.13538486290871,14.29
"Applebey, Kaleb",WAR_GAT,Right,Sinker,35,0.23329639788205406,97.05013305873149,8.57
"Applebey, Kaleb",WAR_GAT,Right,Slider,17,0.11960341257905975,101.51206210138169,0.0
"August, Tyler",HYA_HAR,Right,ChangeUp,6,0.14178792494524034,102.32999443263293,16.67
"August, Tyler",HYA_HAR,Right,Curveball,2,0.012439530327777448,106.61297684354793,50.0
"August, Tyler",HYA_HAR,Right,Fastball,20,0.24708280715679964,97.59956314035557,20.0
"August, Tyler",HYA_HAR,Right,Slider,13,0.032679673541483614,104.76885162327754,0.0
"Bailey, Carson",BRE_WHI,Left,ChangeUp,2,0.2747632132054592,97.44447708758813,0.0
"Bailey, Carson",BRE_WHI,Left,Curveball,8,0.05681689315474675,105.2457514196612,0.0
"Bailey, Carson",BRE_WHI,Left,Fastball,23,0.09246438640018878,103.45927281981787,8.7
"Bailey, Carson",BRE_WHI,Left,Sinker,9,0.1880399479344615,98.80813592843114,0.0
"Bailey, Carson",BRE_WHI,Left,Slider,3,0.08704794861845111,102.7318243329803,0.0
"Baisley, Logan",WAR_GAT,Right,ChangeUp,15,0.30795201210601436,96.2251193045648,20.0
"Baisley, Logan",WAR_GAT,Right,Fastball,25,0.07011920287793637,104.30610780580453,8.0
"Baisley, Logan",WAR_GAT,Right,Sinker,3,0.2573426628860355,96.11604735533427,0.0
"Baisley, Logan",WAR_GAT,Right,Slider,17,0.20405217890843091,98.34800288851655,11.76
"Ballard, Carson",YAR_RED,Right,Curveball,1,1.3203555235036213,66.31729714868946,0.0
"Ballard, Carson",YAR_RED,Right,Cutter,10,0.013418829172746203,103.74511707237875,40.0
"Ballard, Carson",YAR_RED,Right,Fastball,3,0.17419640792965976,100.36180283315856,0.0
"Ballard, Carson",YAR_RED,Right,Sinker,24,0.17501138336629618,99.31423514578967,0.0
"Ballard, Carson",YAR_RED,Right,Slider,22,0.02298398858160311,105.13212183616257,22.73
"Ballard, Carson",YAR_RED,Right,Splitter,1,0.8574498423839978,72.53264430169911,0.0
"Barr, Preston",CHA_ANG,Right,ChangeUp,11,0.24442706715461185,98.5590282921939,9.09
"Barr, Preston",CHA_ANG,Right,Curveball,3,0.3430580920869824,96.42692534227804,0.0
"Barr, Preston",CHA_ANG,Right,Fastball,20,0.6035849434579947,84.08888951808741,10.0
"Barr, Preston",CHA_ANG,Right,Slider,1,0.281777158013444,95.43586518779759,0.0
"Bates, Zach",BRE_WHI,Left,ChangeUp,2,0.18573684061564738,100.71530953431171,0.0
"Bates, Zach",BRE_WHI,Left,Fastball,35,-0.009002370381627779,107.30464734860044,5.71
"Bates, Zach",BRE_WHI,Left,Slider,10,0.510935210280787,86.84995353989065,10.0
"Bauer, Douglas",BRE_WHI,Right,Fastball,21,0.052301873571331835,104.9813467358698,9.52
"Bauer, Douglas",BRE_WHI,Right,Sinker,1,-0.2505487184062697,115.84526842418863,0.0
"Bauer, Douglas",BRE_WHI,Right,Slider,6,0.18331800728045355,99.12485434073027,0.0
"Bauer, Douglas",BRE_WHI,Right,Splitter,23,0.041147941638832064,103.77742480270446,21.74
"Baumler, Trever",FAL_COM,Right,ChangeUp,4,0.005574967358075084,107.33446387668248,0.0
"Baumler, Trever",FAL_COM,Right,Curveball,8,0.022200571114563302,106.31224822253176,12.5
"Baumler, Trever",FAL_COM,Right,Fastball,33,0.14644308085411736,101.41359497090025,9.09
"Baumler, Trever",FAL_COM,Right,Slider,7,0.30106599842499027,94.71316625609735,14.29
"Bayles, Max",BOU_BRA,Right,Fastball,13,0.4750070482550393,88.96171859885807,0.0
"Bayles, Max",BOU_BRA,Right,Slider,8,0.08028469973344025,102.98522436324308,0.0
"Berg, Jack",FAL_COM,Left,ChangeUp,4,0.7169088552836081,81.20002872676446,0.0
